step,epoch,P_sink,drift_pct
1,0.0,16056250000.0,-563.4183
51,0.10666666666666667,13045500000.0,36.36295
101,0.22,11855500000.0,47.3554
151,0.3333333333333333,11671750000.0,52.668949999999995
201,0.44,10845250000.0,52.4143
251,0.5533333333333333,10632750000.0,61.455625
301,0.6666666666666666,10336500000.0,66.5875
351,0.7733333333333333,9975425000.0,68.481325
401,0.8866666666666667,9925275000.0,72.085975
451,1.0,10095500000.0,68.636875
501,1.0,10846500000.0,65.531875
551,1.0866666666666667,9954725000.0,71.6583
601,1.2,9759750000.0,72.49865
651,1.3066666666666666,10186750000.0,66.57215
701,1.42,10159250000.0,69.13015
751,1.5333333333333332,10261750000.0,68.650025
801,1.6400000000000001,10494250000.0,63.535775
851,1.7533333333333334,10496000000.0,56.73025
901,1.8666666666666667,10486500000.0,65.931675
951,1.9733333333333334,10652500000.0,55.86705
1001,2.0,11035500000.0,60.107124999999996
1051,2.066666666666667,10535750000.0,58.745675
